id,Country,Year,GDP,Total_population,Total_number_of_internet_users
15363,15197,21,88482.98358,2165713.0,684441.0
15364,15197,21,88482.98358,2165713.0,684441.0
15365,15197,21,88482.98358,2165713.0,684441.0
15366,15197,21,88482.98358,2165713.0,684441.0
15367,15197,21,88482.98358,2165713.0,684441.0
15368,15197,22,91290.71514,3074918.0,871187.0
15369,15197,22,91290.71514,3074918.0,871187.0
15370,15197,22,91290.71514,3074918.0,871187.0
15371,15197,22,91290.71514,3074918.0,871187.0
15372,15197,22,91290.71514,3074918.0,871187.0
15373,15197,22,91290.71514,3074918.0,871187.0
15374,15197,22,91290.71514,3074918.0,871187.0
15375,15197,22,91290.71514,3074918.0,871187.0
15376,15197,22,91290.71514,3074918.0,871187.0
15377,15197,22,91290.71514,3074918.0,871187.0
15378,15197,22,91290.71514,3074918.0,871187.0
15379,15197,22,91290.71514,3074918.0,871187.0
15380,15197,23,89916.47335,3369394.0,1113983.0
15381,15197,23,89916.47335,3369394.0,1113983.0
15382,15197,23,89916.47335,3369394.0,1113983.0
15383,15197,23,89916.47335,3369394.0,1113983.0
15384,15197,23,89916.47335,3369394.0,1113983.0
15385,15197,23,89916.47335,3369394.0,1113983.0
15386,15197,23,89916.47335,3369394.0,1113983.0
15387,15197,23,89916.47335,3369394.0,1113983.0
15388,15197,23,89916.47335,3369394.0,1113983.0
15389,15197,23,89916.47335,3369394.0,1113983.0
15390,15197,23,89916.47335,3369394.0,1113983.0
15391,15197,23,89916.47335,3369394.0,1113983.0
15392,15197,24,79265.59307,3165654.0,1432021.0
15393,15197,24,79265.59307,3165654.0,1432021.0
15394,15197,24,79265.59307,3165654.0,1432021.0
15395,15197,24,79265.59307,3165654.0,1432021.0
15396,15197,24,79265.59307,3165654.0,1432021.0
15397,15197,24,79265.59307,3165654.0,1432021.0
15398,15197,24,79265.59307,3165654.0,1432021.0
15399,15197,24,79265.59307,3165654.0,1432021.0
15400,15197,24,79265.59307,3165654.0,1432021.0
15401,15197,24,79265.59307,3165654.0,1432021.0
15402,15197,24,79265.59307,3165654.0,1432021.0
15403,15197,24,79265.59307,3165654.0,1432021.0
15404,15197,25,73817.97698,3281614.0,1840823.0
15405,15197,25,73817.97698,3281614.0,1840823.0
15406,15197,25,73817.97698,3281614.0,1840823.0
15407,15197,25,73817.97698,3281614.0,1840823.0
15408,15197,25,73817.97698,3281614.0,1840823.0
15409,15197,25,73817.97698,3281614.0,1840823.0
15410,15197,25,73817.97698,3281614.0,1840823.0
15411,15197,25,73817.97698,3281614.0,1840823.0
15412,15197,25,73817.97698,3281614.0,1840823.0
15413,15197,25,73817.97698,3281614.0,1840823.0
15414,15197,25,73817.97698,3281614.0,1840823.0
15415,15197,25,73817.97698,3281614.0,1840823.0
15416,15197,26,78021.67168,3333698.0,2098725.0
15417,15197,26,78021.67168,3333698.0,2098725.0
15418,15197,26,78021.67168,3333698.0,2098725.0
15419,15197,26,78021.67168,3333698.0,2098725.0
15420,15197,26,78021.67168,3333698.0,2098725.0
15421,15197,26,78021.67168,3333698.0,2098725.0
15422,15197,26,78021.67168,3333698.0,2098725.0
15423,15197,26,78021.67168,3333698.0,2098725.0
15424,15197,26,78021.67168,3333698.0,2098725.0
15425,15197,26,78021.67168,3333698.0,2098725.0
15426,15197,26,78021.67168,3333698.0,2098725.0
15427,15197,26,78021.67168,3333698.0,2098725.0
15428,15197,27,80209.81453,3496698.0,2392169.0
15429,15197,27,80209.81453,3496698.0,2392169.0
15430,15197,27,80209.81453,3496698.0,2392169.0
15431,15197,27,80209.81453,3496698.0,2392169.0
15432,15197,27,80209.81453,3496698.0,2392169.0
15433,15197,27,80209.81453,3496698.0,2392169.0
15434,15197,27,80209.81453,3496698.0,2392169.0
15435,15197,27,80209.81453,3496698.0,2392169.0
15436,15197,27,80209.81453,3496698.0,2392169.0
15437,15197,27,80209.81453,3496698.0,2392169.0
15438,15197,27,80209.81453,3496698.0,2392169.0
15439,15197,27,80209.81453,3496698.0,2392169.0
15440,15197,28,78399.24717,3574090.0,2715341.0
15441,15197,28,78399.24717,3574090.0,2715341.0
15442,15197,28,78399.24717,3574090.0,2715341.0
15443,15197,28,78399.24717,3574090.0,2715341.0
15444,15197,28,78399.24717,3574090.0,2715341.0
15445,15197,28,78399.24717,3574090.0,2715341.0
15446,15197,28,78399.24717,3574090.0,2715341.0
15447,15197,28,78399.24717,3574090.0,2715341.0
15448,15197,28,78399.24717,3574090.0,2715341.0
15449,15197,28,78399.24717,3574090.0,2715341.0
15450,15197,28,78399.24717,3574090.0,2715341.0
15451,15197,28,78399.24717,3574090.0,2715341.0
15452,15197,29,76703.31167,3715284.0,2976788.0
15453,15197,29,76703.31167,3715284.0,2976788.0
15454,15197,29,76703.31167,3715284.0,2976788.0
15455,15197,29,76703.31167,3715284.0,2976788.0
15456,15197,29,76703.31167,3715284.0,2976788.0
15457,15197,29,76703.31167,3715284.0,2976788.0
15458,15197,29,76703.31167,3715284.0,2976788.0
15459,15197,29,76703.31167,3715284.0,2976788.0
15460,15197,29,76703.31167,3715284.0,2976788.0
15461,15197,29,76703.31167,3715284.0,2976788.0
15462,15197,29,76703.31167,3715284.0,2976788.0
15463,15197,29,76703.31167,3715284.0,2976788.0
15464,15197,30,75042.14197,2284399.64,3051156.0
15465,15197,31,75689.27575,2284399.64,3175904.0
15466,15197,32,71695.56421,2284399.64,4053797.0
15467,15197,33,72897.56235,2284399.64,
15468,15468,5,5916.955561,,
15469,15468,6,6228.513841,,
15470,15468,7,6422.460149,,
15471,15468,8,6966.45404,,
15472,15468,9,7325.534651,,
15473,15468,10,7431.10263,,
15474,15468,11,7703.701317,,
15475,15468,12,8109.257317,,
15476,15468,13,8249.794119,,
15477,15468,14,8235.67759,,
15478,15468,15,8601.426246,,
15479,15468,16,8709.585418,,
15480,15468,17,8739.754789,,
15481,15468,18,8952.762398,,
15482,15468,19,9627.781372,,
15483,15468,20,10241.96967,,
15484,15468,21,11057.761,,
15485,15468,22,11848.63371,,
15486,15468,23,12493.6423,,
15487,15468,24,12292.11698,,
15488,15468,25,13046.65768,,
15489,15468,26,13886.95022,,
15490,15468,27,14365.85395,,
15491,15468,28,14840.89465,,
15492,15468,29,15156.88574,,
15493,15468,30,15155.39686,,
15494,15468,31,15156.15439,,
15495,15468,32,15604.96578,,
15496,15468,33,16017.99609,,
15497,15497,5,1108.386981,,
15498,15497,6,1162.146195,,
15499,15497,7,1220.949237,,
15500,15497,8,1289.509022,,
15501,15497,9,1389.640805,,
15502,15497,10,1483.871257,,
15503,15497,11,1581.560406,,
15504,15497,12,1685.647476,,
15505,15497,13,1739.771698,,
15506,15497,14,1861.014285,,
15507,15497,15,1979.537838,,
15508,15497,16,2105.342745,,
15509,15497,17,2230.725003,,
15510,15497,18,2373.963598,,
15511,15497,19,2553.684695,,
15512,15497,20,2776.517672,,
15513,15497,21,3056.927319,,
15514,15497,22,3321.339336,,
15515,15497,23,3589.502001,,
15516,15497,24,3823.692269,,
15517,15497,25,4130.547187,,
15518,15497,26,4485.181127,,
15519,15497,27,4863.791732,,
15520,15497,28,5267.284644,,
15521,15497,29,5689.82855,,
15522,15497,30,6075.952799,,
15523,15497,31,6473.243696,,
15524,15497,32,6942.238417,,
15525,15497,33,7439.59936,,
15526,15526,5,3623.301987,,0.0
15527,15526,6,5370.690693,,
15528,15526,7,6074.965236,,
15529,15526,8,6527.670426,,
15530,15526,9,6874.467165,,
15531,15526,10,7206.501581,,2172.0
15532,15526,11,7980.554427,,4304.0
15533,15526,12,8096.717458,,38383.0
15534,15526,13,8407.338254,,84773.0
15535,15526,14,8361.1002,,169727.0
15536,15526,15,8448.529729,,257300.0
15537,15526,16,8632.385929,,227907.0
15538,15526,17,8654.47792,,246599.0
15539,15526,18,8672.163654,,296117.0
15540,15526,19,9091.163179,,347694.0
15541,15526,20,9366.765445,,404267.0
15542,15526,21,9688.656235,,608603.0
15543,15526,22,10860.92089,,765804.0
15544,15526,23,12102.83681,,926219.0
15545,15526,24,13286.61257,,1260803.0
15546,15526,25,14111.19139,,1894463.0
15547,15526,26,13841.53501,,2385951.0
15548,15526,27,13610.88835,,3011287.0
15549,15526,28,13309.01995,,3719652.0
15550,15526,29,13049.03296,,4090394.0
