id,Country,Year,GDP,Sex,Age_category,Suicides_number,Number_of_people,Generation,Total_population,Percentage_of_population,Total_number_of_internet_users,Number_of_internet_users
4735,4668,10,23401.87468,2.0,2.0,141.0,2431800.0,2.0,27618500.0,0.08804967684704093,1221165.0,107523.18362691674
4736,4668,10,23401.87468,2.0,5.0,96.0,1972700.0,2.0,27618500.0,0.07142676104784837,1221165.0,87223.86065499575
4737,4668,10,23401.87468,2.0,1.0,34.0,921200.0,1.0,27618500.0,0.033354454441769106,1221165.0,40731.29235838297
4738,4668,10,23401.87468,1.0,6.0,22.0,2045200.0,5.0,27618500.0,0.07405181309629415,1221165.0,90429.48233973605
4739,4668,10,23401.87468,2.0,6.0,21.0,1956700.0,5.0,27618500.0,0.07084743921646722,1221165.0,86516.41311077718
4740,4668,11,23962.49945,1.0,1.0,162.0,555800.0,1.0,27706600.0,0.02006020226227686,2002527.0,40171.096655670495
4741,4668,11,23962.49945,1.0,4.0,1273.0,4393100.0,4.0,27706600.0,0.15855788873409224,2002527.0,317516.4532530155
4742,4668,11,23962.49945,1.0,2.0,630.0,2399900.0,2.0,27706600.0,0.08661835086224942,2002527.0,173455.58629712774
4743,4668,11,23962.49945,1.0,5.0,490.0,2058900.0,2.0,27706600.0,0.07431081402987014,2002527.0,148809.41148679375
4744,4668,11,23962.49945,1.0,3.0,506.0,2212300.0,3.0,27706600.0,0.07984740098027185,2002527.0,159896.57634282083
4745,4668,11,23962.49945,2.0,4.0,434.0,4396400.0,4.0,27706600.0,0.1586769939292443,2002527.0,317754.96462214785
4746,4668,11,23962.49945,2.0,3.0,144.0,2417100.0,3.0,27706600.0,0.0872391415763753,2002527.0,174698.7364635141
4747,4668,11,23962.49945,2.0,2.0,137.0,2346000.0,2.0,27706600.0,0.08467296600809915,2002527.0,169559.90060130076
4748,4668,11,23962.49945,2.0,5.0,91.0,1964700.0,2.0,27706600.0,0.07091090209552958,2002527.0,142000.99604065457
4749,4668,11,23962.49945,2.0,1.0,33.0,935900.0,1.0,27706600.0,0.033778955194791134,2002527.0,67643.26980935951
4750,4668,11,23962.49945,1.0,6.0,32.0,2064700.0,5.0,27706600.0,0.07452015043347072,2002527.0,149228.61328708683
4751,4668,11,23962.49945,2.0,6.0,9.0,1961800.0,5.0,27706600.0,0.0708062338937293,2002527.0,141791.39514050804
4752,4668,12,25167.51971,1.0,4.0,1230.0,4525200.0,4.0,28085100.0,0.16112458207376865,4507110.0,726206.2151105034
4753,4668,12,25167.51971,1.0,1.0,156.0,578100.0,1.0,28085100.0,0.020583868314515526,4507110.0,92773.75871903608
4754,4668,12,25167.51971,1.0,2.0,535.0,2359600.0,2.0,28085100.0,0.08401607970062418,4507110.0,378669.7129794802
4755,4668,12,25167.51971,1.0,5.0,464.0,2076000.0,2.0,28085100.0,0.07391819861777241,4507110.0,333157.4521721482
4756,4668,12,25167.51971,1.0,3.0,490.0,2249500.0,3.0,28085100.0,0.08009585153693595,4507110.0,361000.8134206394
4757,4668,12,25167.51971,2.0,4.0,356.0,4525500.0,4.0,28085100.0,0.16113526389437816,4507110.0,726254.3592509907
4758,4668,12,25167.51971,2.0,2.0,136.0,2308000.0,2.0,28085100.0,0.08217880655578937,4507110.0,370388.9208156638
4759,4668,12,25167.51971,2.0,3.0,131.0,2446100.0,3.0,28085100.0,0.08709600464303136,4507110.0,392551.27348665305
4760,4668,12,25167.51971,2.0,5.0,90.0,1980900.0,2.0,28085100.0,0.07053206148455943,4507110.0,317895.7596376726
4761,4668,12,25167.51971,2.0,1.0,42.0,970900.0,1.0,28085100.0,0.03456993209922699,4507110.0,155810.48666374697
4762,4668,12,25167.51971,1.0,6.0,39.0,2084500.0,5.0,28085100.0,0.07422085020170838,4507110.0,334521.53615262185
4763,4668,12,25167.51971,2.0,6.0,12.0,1980800.0,5.0,28085100.0,0.0705285008776896,4507110.0,317879.71159084357
4764,4668,13,26220.26621,1.0,4.0,1226.0,4637556.0,4.0,28372536.0,0.1634522906235805,7513571.0,1228110.3907129064
4765,4668,13,26220.26621,1.0,2.0,568.0,2301724.0,2.0,28372536.0,0.08112507108987367,7513571.0,609538.9815138133
4766,4668,13,26220.26621,1.0,1.0,147.0,599107.0,1.0,28372536.0,0.021115736711022237,7513571.0,158654.58699557206
4767,4668,13,26220.26621,1.0,5.0,457.0,2090656.0,2.0,28372536.0,0.07368590527121016,7513571.0,553644.2809545118
4768,4668,13,26220.26621,1.0,3.0,497.0,2294107.0,3.0,28372536.0,0.08085660724864355,7513571.0,607521.859381798
4769,4668,13,26220.26621,2.0,4.0,341.0,4634299.0,4.0,28372536.0,0.16333749651423476,7513571.0,1227247.8770219553
4770,4668,13,26220.26621,2.0,2.0,133.0,2251763.0,2.0,28372536.0,0.07936417809109485,7513571.0,596308.3869440856
